name,price,link,category,brand
van gogh cafe terrace at night dolma kalem kp12-18-fp,13160,https://www.alwaysfashion.com/tr/visconti-van-gogh-cafe-terrace-at-night-dolma-kalem-kp12-18-fp,Fountain Pen,Visconti
mirage horn tükenmez kalem kp09-03-bp,6580,https://www.alwaysfashion.com/tr/visconti-mirage-horn-tukenmez-kalem-kp09-03-bp,Ballpoint Pen,Visconti
rembrandt mavi roller kalem kp10-02-rb,7990,https://www.alwaysfashion.com/tr/visconti-rembrandt-mavi-roller-kalem-kp10-02-rb,Rollerball Pen,Visconti
rembrandt eco-logic siyah dolma kalem kp10-10-01-fp,7990,https://www.alwaysfashion.com/tr/visconti-rembrandt-eco-logic-siyah-dolma-kalem-kp10-10-01-fp,Fountain Pen,Visconti
van gogh old vineyard roller kalem kp12-16-rb,11750,https://www.alwaysfashion.com/tr/visconti-van-gogh-old-vineyard-roller-kalem-kp12-16-rb,Rollerball Pen,Visconti
van gogh old vineyard set dolma kalem kp12-16-fp,13160,https://www.alwaysfashion.com/tr/visconti-van-gogh-old-vineyard-set-dolma-kalem-kp12-16-fp,Fountain Pen,Visconti
van gogh wheatfield crows set dolma kalem kp12-12-fp,13630,https://www.alwaysfashion.com/tr/visconti-van-gogh-wheatfield-crows-set-dolma-kalem-kp12-12-fp,Fountain Pen,Visconti
rembrandt red dolma kalem kp10-03-fp,8460,https://www.alwaysfashion.com/tr/visconti-rembrandt-red-dolma-kalem-kp10-03-fp,Fountain Pen,Visconti
mavi tükenmez kalem refill 1.0b a3817,235,https://www.alwaysfashion.com/tr/visconti-mavi-tukenmez-kalem-refill-10b-a3817,Ballpoint Pen,Visconti
siyah tükenmez kalem refill 1.0b a3802,235,https://www.alwaysfashion.com/tr/visconti-siyah-tukenmez-kalem-refill-10b-a3802,Ballpoint Pen,Visconti
van gogh starry night dolma kalem kp12-04-fp,13160,https://www.alwaysfashion.com/tr/visconti-van-gogh-starry-night-dolma-kalem-kp12-04-fp,Fountain Pen,Visconti
van gogh portrait blu dolma kalem kp12-01-fp,13160,https://www.alwaysfashion.com/tr/visconti-van-gogh-portrait-blu-dolma-kalem-kp12-01-fp,Fountain Pen,Visconti
van gogh souvenir de mauve rollerball kalem kp12-10-rb,11750,https://www.alwaysfashion.com/tr/visconti-van-gogh-souvenir-de-mauve-rollerball-kalem-kp12-10-rb,Other,Visconti
van gogh souvenir de mauve dolma kalem kp12-10-fp,13160,https://www.alwaysfashion.com/tr/visconti-van-gogh-souvenir-de-mauve-dolma-kalem-kp12-10-fp,Fountain Pen,Visconti
